IA_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING,EASTING,DRNAREA,PRECIP,SOILB,SOILC,SOILD,RSD,HYSEP,STREAM_VAR
05435500,Pecatonica River at Freeport.  IL,0.019091557,467506.408,0,0.051369463,4688932.137,778644.2406,1336.736347,35.37567,83.2421,6.151,10.0189,0.279217,71.52721,0.272033
05444000,Elkhorn Creek near Penrose.  IL,0.054790723,688756.2706,0,0.057970644,4644265.017,774043.5451,146.911873,36.41364,98.4237,0.0857,0.923,0.400462,65.35576,0.45738
05449500,Iowa River near Rowan.  IA,0.041470401,375007.5939,0,0.095461475,4734345.077,449117.1774,427.126283,32.58595,90.046,4.121,0.009,0.48759,57.71523,0.564428
05451210,South Fork Iowa River northeast of New Providence.  IA,0.026937891,276080,0,0.090312975,4684760.696,487438.9837,223.691994,33.90736,97.822,0.498,0,0.461951,54.92835,0.609989
05451500,Iowa River at Marshalltown.  IA,0.031855917,368106.6635,0,0.093547728,4657088.365,507636.1998,1534.174433,33.7373,94.501,2.361,0.002,0.437096,55.55002,0.589517
05451700,Timber Creek near Marshalltown.  IA,0.01749018,276079.9957,0,0.074099172,4650772.42,512220.4598,119.7352,35.17,96.434,2.321,0.664,0.340087,53.459,0.595
05451900,Richland Creek near Haven.  IA,0.016611661,244088.9949,0,0.068327767,4638744.667,543601.2247,56.0749,35.408,87.009,12.074,0.531,0.370579,53.242,0.582
05452000,Salt Creek near Elberon.  IA,0.014404809,198277.0346,0,0.069321565,4646025.189,556907.729,199.280235,36.02055,96.42,2.943,0.002,0.320933,54.27461,0.546707
05452200,Walnut Creek near Hartwick.  IA,0.014629019,184053.3333,0,0.066365731,4631638.368,550956.6389,70.535736,35.62393,82.401,16.696,0.162,0.380231,53.24162,0.581678
05453000,Big Bear Creek at Ladora.  IA,0.016330006,257094.2148,0,0.064030431,4622281.462,567999.6369,186.747604,35.6493,79.425,19.1,0.622,0.358958,53.24219,0.640818
05453100,Iowa River at Marengo.  IA,0.021835558,352725.5515,0,0.091330395,4629406.371,577678.7881,2792.771302,34.5545,91.77,5.372,0.102,0.39417,54.58639,0.588519
